n,pi,time,vel,precision
5000000,3.1395896,2.2377991676330566,2234338.1266374104,0.0006375917601871217
10000000,3.1417016,2.306342124938965,4335870.160748436,3.4678719433151124e-05
50000000,3.14157696,2.3867709636688232,20948805.210510243,4.995424780834809e-06
