n,workers,time_mean,time_std,vel_mean,vel_std,pi_mean,error_abs_mean,error_rel_mean,runs,time_baseline,speedup,efficiency
5000000,1,2.228749513626098,,2243410.4727476407,,3.141744,0.00015134641020697615,4.8175058607307875e-05,1,2.228749513626098,1.0,1.0
5000000,2,2.094890832901001,,2386759.215073756,,3.141024,0.0005686535897932998,0.00018100805944510926,1,2.228749513626098,1.0638976879476483,0.5319488439738241
5000000,3,2.2377991676330566,,2234338.1266374104,,3.1395896,0.0020030535897932467,0.0006375917601871217,1,2.228749513626098,0.9959560026038752,0.3319853342012917
10000000,1,2.685385465621948,,3723860.178741212,,3.1411128,0.00047985358979296677,0.00015274214155188264,1,2.685385465621948,1.0,1.0
10000000,2,2.3130526542663574,,4323291.119878008,,3.1421472,0.0005545464102070241,0.00017651760471662755,1,2.685385465621948,1.1609703136972838,0.5804851568486419
10000000,3,2.306342124938965,,4335870.160748436,,3.1417016,0.00010894641020708917,3.4678719433151124e-05,1,2.685385465621948,1.164348271049775,0.388116090349925
50000000,1,2.6443984508514404,,18907891.88138461,,3.1416688,7.614641020703417e-05,2.423815516630528e-05,1,2.6443984508514404,1.0,1.0
50000000,2,2.5870885848999023,,19326744.469376013,,3.1417388,0.00014614641020704866,4.651984719917525e-05,1,2.6443984508514404,1.0221522626963915,0.5110761313481957
50000000,3,2.3867709636688232,,20948805.210510243,,3.14157696,1.5693589793031038e-05,4.995424780834809e-06,1,2.6443984508514404,1.1079397609172374,0.36931325363907913
