,n,pi,time,vel,precision
0,5000000,3.1426424,2.151400089263916,2324067.95228437,0.0003341446603548499
1,10000000,3.1421248,2.6872940063476562,3721215.4592608786,0.00016938746326604695
2,50000000,3.14114536,12.046220541000366,4150679.4458743823,0.00014237797165782206
