n,pi,time,vel,precision
5000000,3.1407824,2.1497550010681152,2325846.432507764,0.0002579117279470628
10000000,3.1410468,3.5582404136657715,2810377.8377632997,0.00017375059404012218
50000000,3.14133368,15.902762174606323,3144107.888366743,8.243385389171969e-05
