n,pi,time,vel,precision
5000000,3.1405744,2.0889370441436768,2393561.8423817377,0.0003241201842732161
10000000,3.1410792,3.5372135639190674,2827084.0364302085,0.00016343735372768283
50000000,3.14121696,16.139200448989868,3098046.904989611,0.00011958698380704338
